Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,StyleGroup
Cream Ale,45,21.77,1.055,1.013,5.48,17.65,4.83,28.39,75,1.038,70.0,,0,0,,17.78,corn sugar,4.5 oz,Ale
Holiday/Winter Special Spiced Beer,85,20.82,1.083,1.021,8.16,60.65,15.64,24.61,60,1.07,70.0,,0,0,,,,,Spiced/Seasonal
American IPA,7,18.93,1.063,1.018,5.91,59.25,8.98,22.71,60,,70.0,,0,1,,,,,IPA
American IPA,7,22.71,1.061,1.017,5.8,54.48,8.5,26.5,60,,70.0,,0,0,,,,,IPA
Belgian Blond Ale,20,50.0,1.06,1.01,6.48,17.84,4.57,60.0,90,1.05,72.0,,0,0,,19.0,Sukkerlake,6-7 g sukker/l,Belgian
American Pale Ale,10,24.61,1.055,1.013,5.58,40.12,8.0,29.34,70,1.047,79.0,,0,0,1.0,,,,Pale Ale
Imperial IPA,86,22.71,1.072,1.018,7.09,268.71,6.33,30.28,90,,75.0,,0,0,,,,,IPA
Cream Ale,45,20.82,1.054,1.014,5.36,19.97,5.94,28.39,75,1.04,70.0,1.4,0,0,,,corn sugar,4.2 oz,Ale
Robust Porter,129,22.71,1.06,1.016,5.77,31.63,34.76,30.28,75,1.042,73.0,,0,0,,,corn sugar,4 oz,Porter & Stout
Imperial IPA,86,20.82,1.08,1.017,8.22,93.02,8.29,28.39,60,1.058,70.0,,0,0,,21.11,Corn Sugar,4.6 oz / .66 C,IPA
American IPA,7,25.0,1.064,1.014,6.63,64.26,7.78,29.0,90,1.055,74.0,,0,0,1.0,18.0,Sukkerlake,6 5 g sukker/L,IPA
American IPA,7,15.14,1.066,1.015,6.62,111.0,14.26,11.36,90,,70.0,,0,3,,,,,IPA
American IPA,7,20.82,1.073,1.019,7.07,69.72,6.28,28.39,60,,70.0,,0,0,,,,,IPA
